6187	23223
6790	26130
2849	3350
8467	23363
37	79922
6737	8353
1173	1654
4155	27330
329	26043
2010	8471
10668	23240
10111	23137
6747	9577
6721	55729
27294	151903
695	23603
7408	26136
841	3092
5430	7494
23197	55622
6426	10987
2267	23141
5163	55968
7916	55692
6256	64324
6595	6880
409	8322
351	8078
2056	6493
2885	5573
1743	4967
3187	23435
1936	399823
3713	7579
1838	7415
6648	6790
22938	58525
293	9531
5432	5440
5869	79735
3759	10207
7070	9997
773	79867
2071	6879
9775	112802
7421	23054
4188	7376
51177	51177
83897	115817
31	1315
4869	9532
9045	80135
2010	2664
29948	53339
5562	7249
2185	2934
1974	9531
51191	83903
5747	64145
27023	51520
6427	282809
1780	2033
604	80342
4869	6230
1072	6310
6857	26747
5829	58480
51535	51535
3704	7086
4831	7013
8463	55324
22832	165055
8535	58525
4193	55544
3417	3419
51258	65080
4670	29796
9897	23607
3064	8312
1612	8633
9882	54737
7253	10672
1457	5241
6262	6717
4637	11274
920	3187
988	6257
2801	55916
2915	6002
800	4741
3150	5566
2091	7412
6119	89777
672	6603
1780	8678
3113	50515
689	91408
648	54915
3708	9478
29058	79867
6885	10572
226	5893
154	3418
2173	6647
5887	9939
6809	8417
1917	10987
8289	9274
991	54504
2099	9961
10075	23607
4171	8354
3550	23385
8548	51693
6647	8480
3428	79954
1106	6880
3494	8099
634	9607
2553	7528
7019	64216
1876	3065
2304	7024
4985	79971
3965	4233
6596	55743
3305	25771
5831	23008
1386	7203
5584	7534
1017	3009
440	2745
54925	130507
351	51013
10772	80776
6168	101929876
128344	285193
10460	10802
5564	8408
8243	92667
55094	79650
5596	9524
6199	6745
8086	55630
5687	10075
2033	10188
10980	54165
85291	170082
10576	55054
5824	6788
1889	60681
1387	9314
23239	114049
84132	84759
4914	10973
4093	4125
5716	8878
5307	5359
57506	115992
91	1994
10521	84708
3685	3694
10488	375035
5521	8655
7251	56852
79084	192669
51068	55153
5781	10105
1956	338692
7514	91782
2717	55748
2843	6160
1387	10848
351	11066
7324	11342
546	641
4171	6152
5129	84930
114	5515
9716	84292
6240	26270
836	10134
8971	9777
998	1937
79832	340069
1917	167227
8975	54913
3880	64170
64976	79590
6117	8241
4988	6477
7316	348995
8407	81789
7750	94234
6647	84076
6136	6208
11218	26058
51258	57129
6599	55274
6154	6168
5230	51547
4659	5592
1457	6175
3052	51300
5238	8139
70	8655
6597	23613
3725	4784
6146	6207
4110	23059
4738	29761
6774	9209
6143	6193
2033	10980
2055	58515
5683	9097
5692	5700
5702	10048
1213	10693
5733	6925
10640	10907
7048	91663
3676	5052
5690	5695
301	7412
355	9577
7170	9656
1080	5721
5709	55969
54148	79018
211	163050
7014	55971
8417	83440
4172	55723
83878	91544
2801	23219
6714	10278
5684	201181
2153	2153
5093	11332
4772	6598
3858	10987
2994	6005
22843	27185
1540	4646
4929	10987
10914	26986
6655	10006
1956	116449
6124	6133
10526	25953
3799	6238
4535	10161
3398	9149
26135	83939
7514	8888
4692	80318
23281	83541
6651	7428
8362	9820
1500	200728
774	784
648	10656
9063	79753
80820	84248
6118	6711
2307	7025
4000	9816
11316	11316
51147	55766
4286	23598
351	126308
3676	5518
2564	93183
351	9022
5588	10892
8607	11338
4149	5500
10036	55929
1994	9690
56658	84708
10273	10574
3181	84959
6194	9924
7023	9656
8243	149708
56254	57019
7157	64432
6045	8886
6176	10056
5094	83737
10713	54888
79003	147841
9482	23673
55904	57062
7851	10488
351	135656
117583	387755
10969	51147
4780	5599
3161	7069
26827	55814
4087	5763
920	1803
3858	7412
9521	26151
29775	80179
4088	6124
2146	2521
1994	2665
9638	25782
9774	84321
6582	6613
3692	23560
1601	8301
4830	7283
6607	6813
988	9833
10243	54726
29947	100188776
5906	9138
5719	91409
51368	118987
1399	9531
5878	10972
3396	10476
5692	445329
373	5144
6627	114034
2309	23410
4793	84172
6772	10598
6776	23468
998	50619
3684	5885
993	10482
6303	10399
6612	10036
6175	10526
9470	57594
26145	81669
8452	554313
5108	5116
5990	5992
1457	7529
28957	55832
834	3606
8893	8894
4723	4729
25843	54764
4343	51028
7040	92304
5879	6418
10615	56478
6453	9252
768	55832
2245	29074
836	9978
10367	221154
988	5347
3308	9636
1398	55139
92	7049
7012	55651
4733	6886
10620	27023
3205	11030
6276	6276
1915	3028
3384	8829
5928	6613
54504	54940
5970	55274
5885	9246
11011	25842
5128	5568
11130	53407
492	8630
2304	6597
2182	51100
10960	23400
580	171483
3643	5770
1780	8452
634	1087
7018	11269
2934	51474
